site,plot,species,diameter,height,weight
59,c,Poa secunda,0.7,1,0.01
65,b,PG19,1,7,0.01
67,b,Poa secunda,0.3,2,0.01
52,b,Elymus elymoides,0.3,7,0.02
57,b,Poa secunda,0.3,5,0.02
59,b,Poa secunda,0.8,3,0.02
59,b,Poa secunda,0.1,5,0.02
59,c,Poa secunda,0.6,2,0.02
59,c,Poa secunda,0.2,1,0.02
59,d,Poa secunda,0.5,2,0.02
59,d,Poa secunda,0.5,2,0.02
59,d,Poa secunda,0.4,5,0.02
59,d,Poa secunda,0.4,4,0.02
60,d,Poa secunda,0.6,1,0.02
61,a,Poa secunda,0.3,4,0.02
61,b,PG09,1.2,7,0.02
62,b,Poa secunda,0.5,3,0.02
63,b,Poa secunda,0.3,2,0.02
66,a,Poa secunda,0.6,4,0.02
67,a,Poa secunda,0.8,2,0.02
67,d,Poa secunda,0.3,3,0.02
68,b,Poa secunda,0.5,6,0.02
68,b,Poa secunda,0.5,4,0.02
68,b,Poa secunda,0.3,2,0.02
68,b,Poa secunda,0.3,4,0.02
68,c,Hesperostipa comata,0.2,9,0.02
68,c,Poa secunda,1.1,2,0.02
68,c,Poa secunda,0.4,2,0.02
68,d,Poa secunda,0.6,3,0.02
53,d,Poa secunda,0.2,7,0.03
53,d,Elymus elymoides,0.1,12,0.03
54,c,Poa secunda,0.6,3,0.03
56,b,Poa secunda,0.8,4,0.03
56,d,Poa secunda,0.9,3,0.03
58,a,Elymus elymoides,0.3,5,0.03
60,a,Poa secunda,0.5,2,0.03
60,a,Poa secunda,0.5,2,0.03
60,a,Poa secunda,0.7,2,0.03
60,c,Poa secunda,0.9,2,0.03
60,d,Poa secunda,0.5,3,0.03
60,d,Poa secunda,0.2,6,0.03
61,a,Poa secunda,0.7,4,0.03
61,b,Poa secunda,0.3,4,0.03
61,d,Poa secunda,0.4,7,0.03
61,d,Poa secunda,1,10,0.03
62,a,PG11,0.3,10,0.03
62,b,Poa secunda,0.6,3,0.03
64,b,Poa secunda,0.4,3,0.03
64,d,Poa secunda,0.2,11,0.03
64,d,Elymus elymoides,0.2,11,0.03
65,a,PG20,0.5,6,0.03
65,b,PG19,1,12,0.03
65,b,PG20,0.3,10,0.03
67,b,Poa secunda,0.2,3,0.03
67,b,Poa secunda,0.4,2,0.03
67,c,Poa secunda,0.4,5,0.03
67,c,Poa secunda,0.4,4,0.03
68,b,Poa secunda,0.6,4,0.03
68,c,Poa secunda,1.4,1,0.03
68,c,Poa secunda,0.5,1,0.03
68,c,Poa secunda,0.7,6,0.03
54,b,Achnatherum hymenoides,0.3,10,0.04
54,b,Elymus elymoides,0.4,18,0.04
54,b,Elymus elymoides,0.7,8,0.04
56,b,Poa secunda,4.1,4,0.04
56,d,Poa secunda,0.7,3,0.04
57,a,Poa secunda,0.5,3,0.04
60,a,Poa secunda,0.7,3,0.04
60,a,Poa secunda,0.2,3,0.04
60,b,Poa secunda,1,3,0.04
60,b,Poa secunda,0.9,2,0.04
60,c,Poa secunda,0.8,2,0.04
62,a,Poa secunda,0.9,2,0.04
62,b,Poa secunda,0.7,6,0.04
62,c,Poa secunda,0.8,5,0.04
62,d,Poa secunda,0.7,3,0.04
63,a,Poa secunda,1.5,4,0.04
63,a,Poa secunda,0.6,9,0.04
63,d,Poa secunda,0.7,6,0.04
65,a,PG17,1.8,3,0.04
65,b,PG20,0.7,8,0.04
65,d,PG18,0.2,14,0.04
67,b,Poa secunda,0.9,2,0.04
67,d,Pseudoroegneria spicata,1.2,8,0.04
68,a,Hesperostipa comata,0.4,7,0.04
68,b,Hesperostipa comata,0.7,7,0.04
68,b,Poa secunda,0.3,4,0.04
68,b,Poa secunda,0.6,2,0.04
68,c,Poa secunda,0.4,3,0.04
68,d,Poa secunda,0.5,2,0.04
68,d,Poa secunda,0.8,2,0.04
52,d,Poa secunda,0.6,6,0.05
55,c,Poa secunda,0.3,12,0.05
55,d,Poa secunda,0.5,4,0.05
55,d,Poa secunda,0.7,9,0.05
56,d,Poa secunda,0.4,4,0.05
58,a,Poa secunda,0.4,4,0.05
59,b,Poa secunda,0.7,3,0.05
59,c,Poa secunda,0.9,3,0.05
59,d,Poa secunda,0.8,3,0.05
59,d,Poa secunda,1.1,3,0.05
60,a,Poa secunda,0.6,3,0.05
60,d,Poa secunda,0.5,5,0.05
61,b,Poa secunda,0.6,5,0.05
62,a,PG11,0.4,9,0.05
62,b,Poa secunda,0.6,4,0.05
62,b,Poa secunda,0.5,7,0.05
63,b,Poa secunda,0.2,3,0.05
65,b,PG18,0.3,24,0.05
65,c,PG19,0.8,8,0.05
65,c,PG18,0.3,8,0.05
67,a,Poa secunda,1,3,0.05
67,b,Elymus elymoides,0.6,9,0.05
67,d,Poa secunda,0.6,6,0.05
