plot.id,species,site,plot,functional_type,functional_type_2,native_exotic,cover,sqrtcover,richness_100_sq_meters,distance_from_water,age_of_watering_source,mean_annual_precip,mean_annual_temp,elevation,cow_dung_pats_m2,horse_dung_pats_m2,sand_percentage,clay_percentage,silt_percentage,annual_forb_richness,bunchgrass_richness,succulent_richness,rhzomitous_grass_richness,perennial_forb_richness,shrub_richness,native_annual_forb_richness,native_bunchgrass_richness,native_succulent_richness,native_grass_richness,native_perennial_forb_richness,native_shrub_richness,exotic_forb_richness,exotic_grass_richness,sum_bunchgrass_cover,sum_grass_cover,sum_shrub_cover,sum_perennial_forb_cover,sum_annual_forb_cover,exotic_cover,native_cover,total_vegetation_cover,exotic_richness,total_grass_cover
52.a,Artemisia tridentata,52,a,s,s,n,37.5,6.123724357,22,71,46,191.4799957,3.730000019,2040.65918,11,0,63.07,21.02666667,15.90333333,1,5,1,2,8,5,0,5,1,2,7,5,2,0,9.5,4,39.5,3.55,0.5,0.55,56.55,57.05,2,13.5
52.a,Phlox hoodii,52,a,f,pf,n,0.5,0.707106781,22,71,46,191.4799957,3.730000019,2040.65918,11,0,63.07,21.02666667,15.90333333,1,5,1,2,8,5,0,5,1,2,7,5,2,0,9.5,4,39.5,3.55,0.5,0.55,56.55,57.05,2,13.5
52.a,Achnatherum hymenoides,52,a,g,bg,n,1.5,1.224744871,22,71,46,191.4799957,3.730000019,2040.65918,11,0,63.07,21.02666667,15.90333333,1,5,1,2,8,5,0,5,1,2,7,5,2,0,9.5,4,39.5,3.55,0.5,0.55,56.55,57.05,2,13.5
52.a,Alyssum desertorum,52,a,f,af,e,0.5,0.707106781,22,71,46,191.4799957,3.730000019,2040.65918,11,0,63.07,21.02666667,15.90333333,1,5,1,2,8,5,0,5,1,2,7,5,2,0,9.5,4,39.5,3.55,0.5,0.55,56.55,57.05,2,13.5
52.a,Descurania sophia,52,a,f,pf,e,0.05,0.223606798,22,71,46,191.4799957,3.730000019,2040.65918,11,0,63.07,21.02666667,15.90333333,1,5,1,2,8,5,0,5,1,2,7,5,2,0,9.5,4,39.5,3.55,0.5,0.55,56.55,57.05,2,13.5
52.a,Poa secunda,52,a,g,bg,n,0.5,0.707106781,22,71,46,191.4799957,3.730000019,2040.65918,11,0,63.07,21.02666667,15.90333333,1,5,1,2,8,5,0,5,1,2,7,5,2,0,9.5,4,39.5,3.55,0.5,0.55,56.55,57.05,2,13.5
52.a,Opuntia polyacantha,52,a,c,c,n,0.05,0.223606798,22,71,46,191.4799957,3.730000019,2040.65918,11,0,63.07,21.02666667,15.90333333,1,5,1,2,8,5,0,5,1,2,7,5,2,0,9.5,4,39.5,3.55,0.5,0.55,56.55,57.05,2,13.5
52.a,Cymopterus acaulis,52,a,f,pf,n,0.5,0.707106781,22,71,46,191.4799957,3.730000019,2040.65918,11,0,63.07,21.02666667,15.90333333,1,5,1,2,8,5,0,5,1,2,7,5,2,0,9.5,4,39.5,3.55,0.5,0.55,56.55,57.05,2,13.5
52.a,Schoenocrambe linifolia,52,a,f,pf,n,0.5,0.707106781,22,71,46,191.4799957,3.730000019,2040.65918,11,0,63.07,21.02666667,15.90333333,1,5,1,2,8,5,0,5,1,2,7,5,2,0,9.5,4,39.5,3.55,0.5,0.55,56.55,57.05,2,13.5
52.a,Elymus elymoides,52,a,g,bg,n,3.5,1.870828693,22,71,46,191.4799957,3.730000019,2040.65918,11,0,63.07,21.02666667,15.90333333,1,5,1,2,8,5,0,5,1,2,7,5,2,0,9.5,4,39.5,3.55,0.5,0.55,56.55,57.05,2,13.5
