,plot.id,site,plot,richness_100_sq_meters,distance_from_water,age_of_watering_source,mean_annual_precip,mean_annual_temp,elevation,cow_dung_pats_m2,horse_dung_pats_m2,sand_percentage,clay_percentage,silt_percentage,annual_forb_richness,bunchgrass_richness,succulent_richness,rhzomitous_grass_richness,perennial_forb_richness,shrub_richness,native_annual_forb_richness,native_bunchgrass_richness,native_succulent_richness,native_grass_richness,native_perennial_forb_richness,native_shrub_richness,exotic_forb_richness,exotic_grass_richness,sum_bunchgrass_cover,sum_grass_cover,sum_shrub_cover,sum_perennial_forb_cover,sum_annual_forb_cover,exotic_cover,native_cover,total_vegetation_cover,exotic_richness,total_grass_cover
1,52.a,52,a,22,71,46,191.4799957,3.730000019,2040.65918,11,0,63.07,21.02666667,15.90333333,1,5,1,2,8,5,0,5,1,2,7,5,2,0,9.5,4,39.5,3.55,0.5,0.55,56.55,57.05,2,13.5
2,52.b,52,b,19,185,46,191.4799957,3.730000019,2040.65918,6,2,61.33,25.78,12.895,1,3,1,1,7,6,0,3,1,1,7,6,1,0,5.5,1.5,19,2.15,0.5,0.5,28.65,28.65,1,7
3,52.c,52,c,15,448,46,191.4799957,3.730000019,2040.65918,7,0,61.28333333,16.28666667,22.42666667,1,3,0,1,4,6,0,3,0,1,4,6,1,0,2.5,3.5,41,1.1,0.5,0.5,48.1,48.6,1,6
4,52.d,52,d,15,532,46,191.4799957,3.730000019,2040.65918,2,1,70.04333333,17.86333333,12.09666667,0,4,1,1,5,4,0,4,1,1,5,4,0,0,2,3.5,40,1.6,0,0,47.6,47.1,0,5.5
5,53.a,53,a,27,76,0,265.3500061,2.210000038,2192.531982,17,0,72.65666667,13.05333333,14.28666667,5,3,0,1,15,3,4,3,0,1,15,3,1,0,4.5,0.5,38.5,7.5,2.05,0.5,52.55,53.05,1,5
6,53.b,53,b,27,197,0,265.3500061,2.210000038,2192.531982,3,0,56.4,24.47666667,19.12,2,3,0,1,17,4,1,3,0,1,17,4,1,0,4.5,0.5,38.55,8.15,1,0.5,52.2,52.7,1,5
7,53.c,53,c,36,316,0,265.3500061,2.210000038,2192.531982,2,0,58.28,25.16666667,16.55333333,6,4,0,1,21,4,4,4,0,1,21,4,2,0,5,1.5,40,11.05,3,1,59.55,60.55,2,6.5
8,53.d,53,d,20,675,0,265.3500061,2.210000038,2192.531982,1,0,45.37333333,33.74333333,20.88666667,2,3,0,1,10,4,1,3,0,1,10,4,1,0,7.5,0.5,39,5,1,0.5,52.5,53,1,8
9,54.a,54,a,14,64,59,232.8600006,2.519999981,2154.418701,15,0,62.65666667,24.12666667,13.22,5,3,0,1,2,3,4,3,0,1,2,3,1,0,2.5,0.5,39.5,0.55,2.5,0.5,45.05,45.55,1,3
10,54.b,54,b,10,297,59,232.8600006,2.519999981,2154.418701,1,1,55.82,18.36333333,25.81,1,2,0,1,3,3,1,2,0,1,3,3,0,0,5,3.5,42.5,2.5,0.5,0,54,54,0,8.5
11,54.c,54,c,15,418,59,232.8600006,2.519999981,2154.418701,0,0,57.84333333,23.08333333,19.07333333,1,3,0,1,7,3,1,3,0,1,7,3,0,0,3.5,3.5,38.5,4.5,0.5,0,50.5,50.5,0,7
12,54.d,54,d,15,536,59,232.8600006,2.519999981,2154.418701,1,1,51.77666667,23.81666667,24.40666667,2,3,0,1,6,3,2,3,0,1,6,3,0,0,2.5,3.5,38.5,3,0.55,0,48.05,48.05,0,6
13,55.a,55,a,13,75,48,252.8600006,2.49000001,2201.57,2,1,67.61666667,15.69333333,16.69,1,3,0,1,5,3,0,3,0,1,5,3,1,0,7.5,3.5,38.5,2.05,7.5,7.5,51.55,59.05,1,11
14,55.b,55,b,15,262,48,252.8600006,2.49000001,2201.57,2,1.5,53.75666667,25.38666667,20.86,2,3,1,1,6,2,1,3,1,1,6,2,1,0,5.5,3.5,38,2.1,1.55,1.5,49.65,50.65,1,9
15,55.c,55,c,18,371,48,252.8600006,2.49000001,2201.57,0,0,62.97,16.21666667,20.81,1,3,0,1,9,4,0,3,0,1,9,4,1,0,4.5,7.5,39,5.5,0.5,0.5,56.5,57,1,12
16,55.d,55,d,15,536,48,252.8600006,2.49000001,2201.57,1,0.5,64.04,18.62666667,17.33333333,1,3,1,1,7,2,0,3,1,1,7,2,1,0,8.5,1.5,39,3.05,0.5,0.5,52.55,52.55,1,10
17,56.a,56,a,25,68,52,214.8099976,2.319999933,2194.833984,17,0,64.9,16.67,18.43,5,4,1,1,11,3,4,4,1,1,11,3,1,0,9,0.5,41.5,5.05,2.5,0.5,58.55,58.55,1,9.5
18,56.b,56,b,21,229,52,214.8099976,2.319999933,2194.833984,2,0,59.90333333,21.74,18.35666667,0,4,1,1,12,3,0,4,1,1,12,3,0,0,9,3.5,41.5,5.55,0,0,60.05,59.55,0,12.5
19,56.c,56,c,28,314,52,214.8099976,2.319999933,2194.833984,0,0,58.935,29.705,11.36,1,5,1,1,17,3,0,5,1,1,17,3,1,0,9.5,3.5,39.5,7.6,0.5,0.5,60.6,60.6,1,13
20,56.d,56,d,25,576,52,214.8099976,2.319999933,2194.833984,0,0,58.9,26.67,14.43,0,5,1,1,15,3,0,5,1,1,15,3,0,0,12.5,3.5,64.5,9.05,0,0,90.05,89.55,0,16
21,57.a,57,a,24,50,33,261.7399902,2.25999999,2159.195312,25,0,66.39,20.285,13.325,2,5,0,1,14,2,1,5,0,1,14,2,1,0,10.5,1.5,38,5.75,0.55,0.5,55.8,56.3,1,12
22,57.b,57,b,18,185,33,261.7399902,2.25999999,2159.195312,5,0,58.13,21.36666667,20.50333333,1,4,0,1,10,2,1,4,0,1,10,2,0,0,9,3.5,41,6,0.5,0,60,60,0,12.5
23,57.c,57,c,24,340,33,261.7399902,2.25999999,2159.195312,4,0,67.56333333,18.62666667,13.81333333,2,3,0,1,16,2,1,3,0,1,16,2,1,0,9.5,3.5,39,7.55,1,0.5,60.05,60.55,1,13
24,57.d,57,d,26,532,33,261.7399902,2.25999999,2159.195312,2,0,70.72333333,17.79666667,11.47666667,2,3,0,1,17,3,1,3,0,1,17,3,1,0,11.5,3.5,39.5,8.5,1,0.5,63.5,64,1,15
25,58.a,58,a,13,67,22,239.7200012,2.380000114,2151.822266,15,0,43.74666667,25.78333333,30.47666667,1,3,0,1,5,3,1,3,0,1,5,3,0,0,4.5,7.5,17.5,2.05,0.5,0,32.05,32.05,0,12
26,58.b,58,b,14,174,22,239.7200012,2.380000114,2151.822266,3,0.1,49.03333333,23.11666667,27.86,1,3,0,1,6,3,1,3,0,1,6,3,0,0,2.5,7.5,42.5,2.55,0.5,0,55.55,55.55,0,10
27,58.c,58,c,16,421,22,239.7200012,2.380000114,2151.822266,1,0,60.31333333,20.45,19.24,2,3,0,1,7,3,1,3,0,1,7,3,1,0,2.5,3.5,39.05,2.6,1,0.5,48.15,48.65,1,6
28,58.d,58,d,14,689,22,239.7200012,2.380000114,2151.822266,0,0,60.98,20.49666667,18.52333333,1,2,0,1,7,3,1,2,0,1,7,3,0,0,5,7.5,40.5,3.5,0.5,0,57,57,0,12.5
29,59.a,59,a,24,76,52,258.9500122,2.180000067,2233.516602,6,0,57.47,23.06,19.465,6,4,0,1,11,2,5,4,0,1,11,2,1,0,6,1.5,63,6.05,3,0.5,79.05,79.55,1,7.5
30,59.b,59,b,20,274,52,258.9500122,2.180000067,2233.516602,4,0,57.21,24.26,18.52666667,2,4,1,1,10,2,2,4,1,1,10,2,0,0,10,0.5,38,5,1,0,55,54.5,0,10.5
31,59.c,59,c,23,443,52,258.9500122,2.180000067,2233.516602,4,0,56.7225,25.055,18.22,2,6,1,1,11,2,2,6,1,1,11,2,0,0,11,0.5,39,5.5,1,0,57.5,57,0,11.5
32,59.d,59,d,22,573,52,258.9500122,2.180000067,2233.516602,0,0,60.65,19.66,19.685,2,5,1,1,11,2,2,5,1,1,11,2,0,0,11.5,0.5,39,5.5,1,0,58,57.5,0,12
33,60.a,60,a,16,66,57,261.5400085,2.210000038,2140.711914,11,0,63.54,18.26333333,18.19,1,3,0,1,9,2,0,3,0,1,9,2,1,0,8.5,1.5,41,4.5,1.5,1.5,55.5,57,1,10
34,60.b,60,b,22,220,57,261.5400085,2.210000038,2140.711914,7,0,63.145,22.74,14.105,1,4,0,1,14,2,0,4,0,1,14,2,1,0,9,1.5,39,7.55,1.5,1.5,57.05,58.55,1,10.5
35,60.c,60,c,21,316,57,261.5400085,2.210000038,2140.711914,8,0,68.18333333,19.55,12.26333333,1,3,1,1,13,2,0,3,1,1,13,2,1,0,9.5,1.5,39,8.5,0.5,0.5,59,59,1,11
36,60.d,60,d,20,589,57,261.5400085,2.210000038,2140.711914,9,0,62.73,21.07333333,16.19,1,3,1,1,12,2,1,3,1,1,12,2,0,0,9.5,1.5,39,8,0.5,0,59,58.5,0,11
37,61.a,61,a,22,31,26,308.1900024,2.039999962,2262.501221,25,0,51.85666667,25.22666667,22.92,2,5,0,1,12,2,1,4,0,1,12,2,1,1,6.5,1.5,39,6.55,1,1,53.55,54.55,2,8
38,61.b,61,b,22,257,26,308.1900024,2.039999962,2262.501221,2,0,49.88,22.51333333,27.60666667,2,5,0,1,12,2,1,4,0,1,12,2,1,1,8.5,0.5,39,8,0.55,0.55,56,56.55,2,9
39,61.c,61,c,18,434,26,308.1900024,2.039999962,2262.501221,14,1,62.80333333,22.7,14.49666667,1,3,0,1,11,2,1,2,0,1,11,2,0,1,8.5,0.5,41,6.5,0.5,0.5,56.5,57,1,9
40,61.d,61,d,21,643,26,308.1900024,2.039999962,2262.501221,2,0,55.91,19.22666667,24.86666667,2,4,0,1,12,2,2,3,0,1,12,2,0,1,8,1.5,41,8,1,0.5,59,59.5,1,9.5
41,62.a,62,a,31,82,56,295.0899963,2.25,2247.369629,5,1,50.03333333,19.16666667,30.8,4,7,0,0,18,2,3,6,0,0,18,2,1,1,6.5,0,38,13,2,1,58.5,59.5,2,6.5
42,62.b,62,b,27,130,56,295.0899963,2.25,2247.369629,3,0.1,54.13,19.92666667,25.94,5,7,0,0,14,1,4,6,0,0,14,1,1,1,10.5,0,37.5,8.1,2.5,1,57.6,58.6,2,10.5
43,62.c,62,c,28,380,56,295.0899963,2.25,2247.369629,5,0,59.36333333,18.40666667,22.23333333,4,7,0,0,16,1,3,6,0,0,16,1,1,1,14.5,0,62.5,8,2,1,86,87,2,14.5
44,62.d,62,d,29,535,56,295.0899963,2.25,2247.369629,4,0.1,61.39,19.83333333,18.78,4,6,0,0,18,1,4,6,0,0,18,1,0,0,14,0,37.5,11,2,0,64.5,64.5,0,14
45,63.a,63,a,29,63,76,271.49,2.2,2241,11,0,27.77,38.99666667,33.23,2,4,0,1,20,2,1,4,0,1,20,2,1,0,3,3.5,39,11.55,0.55,0.5,57.1,57.6,1,6.5
46,63.b,63,b,32,235,76,271.49,2.2,2241,1,0.6,51.07666667,27.71666667,21.21,4,4,0,2,19,3,3,4,0,2,19,3,1,0,13,2,39.5,10.05,2,0.5,66.05,66.55,1,15
47,63.c,63,c,30,358,76,271.49,2.2,2241,2,0,59.06666667,27.67,13.26333333,3,4,0,1,19,3,2,4,0,1,19,3,1,0,12,1.5,38.5,11.5,1.5,0.5,64.5,65,1,13.5
48,63.d,63,d,32,511,76,271.49,2.2,2241,3,0.1,69.71333333,17.02666667,13.25666667,3,4,0,1,21,3,2,4,0,1,21,3,1,0,10,0.5,39.5,11.05,1.5,0.5,62.05,62.55,1,10.5
49,64.a,64,a,18,68,46,245.66,2.4,2202,15,0,66.31,23,10.69,2,4,1,1,7,3,2,4,1,1,7,3,0,0,8,0.5,39.5,2.15,1,0,51.2,51.15,0,8.5
50,64.b,64,b,16,101,46,245.66,2.4,2202,5,0.3,60.93333333,24.90666667,14.16,0,4,0,1,7,4,0,4,0,1,7,4,0,0,3,0.5,40,3.5,0,0,47,47,0,3.5
51,64.c,64,c,8,385,46,245.66,2.4,2202,3,0,46.26333333,24.38333333,29.35333333,0,2,0,1,2,3,0,2,0,1,2,3,0,0,5,0.5,38.5,1,0,0,45,45,0,5.5
52,64.d,64,d,13,651,46,245.66,2.4,2202,1,0.1,58.80666667,18.46,22.73333333,0,4,0,1,5,3,0,4,0,1,5,3,0,0,3,3.5,17.5,2.05,0,0,26.05,26.05,0,6.5
53,65.a,65,a,46,70,52,378.38,1.6,2325,6,0,50.21,20.63333333,29.16,8,8,0,0,28,2,6,8,0,0,28,2,2,0,10,0,39,22,4,1,74,75,2,10
54,65.b,65,b,41,224,52,378.38,1.6,2325,1,0.1,36.81666667,22.02,41.16666667,6,6,0,1,26,2,5,6,0,1,26,2,1,0,16,1.5,39,29,3,0.5,88,88.5,1,17.5
55,65.c,65,c,34,313,52,378.38,1.6,2325,1,0,58.28666667,14.70333333,27.01,8,7,0,1,16,2,6,7,0,1,16,2,2,0,15.5,0.5,39,17.55,4,1,75.55,76.55,2,16
56,65.d,65,d,36,531,52,378.38,1.6,2325,5,0.1,64.9,13.96333333,21.13333333,6,8,0,1,19,2,5,8,0,1,19,2,1,0,15,0.5,39,18.5,3,0.5,75.5,76,1,15.5
57,66.a,66,a,14,72,49,250.15,2.4,2215,12,0,46.06333333,24.48333333,29.45333333,1,3,0,1,5,4,0,3,0,1,5,4,1,0,8.5,3.5,21,2.5,0.5,0.5,35.5,36,1,12
58,66.b,66,b,16,263,49,250.15,2.4,2215,2,0,54.70666667,22.72,22.57666667,1,3,0,1,8,3,0,3,0,1,8,3,1,0,8.5,3.5,19.5,3.55,0.5,0.5,35.05,35.55,1,12
59,66.c,66,c,9,310,49,250.15,2.4,2215,1,2,36.04,31.6,32.36,0,3,0,1,3,2,0,3,0,1,3,2,0,0,11.5,7.5,41,1.05,0,0,61.05,61.05,0,19
60,66.d,66,d,12,531,49,250.15,2.4,2215,3,0.5,46.04,24.50666667,29.45333333,1,3,0,1,3,4,0,3,0,1,3,4,1,0,15.5,3.5,43,1.5,0.5,0.5,63.5,64,1,19
61,67.a,67,a,19,51,8,237.14,2.1,2189,16,0,36.83,23.61666667,39.55,1,4,1,1,9,3,1,4,1,1,9,3,0,0,10,0.5,17.5,5.05,0.5,0,34.05,33.55,0,10.5
62,67.b,67,b,13,190,8,237.14,2.1,2189,6,0,40.87666667,26.78666667,32.33666667,0,2,1,1,5,4,0,2,1,1,5,4,0,0,11,1.5,24,2.5,0,0,40.5,39,0,12.5
63,67.c,67,c,16,369,8,237.14,2.1,2189,3,0,45.05,30.49666667,24.45333333,0,4,1,1,8,2,0,4,1,1,8,2,0,0,12,1.5,23,4,0,0,41,40.5,0,13.5
64,67.d,67,d,20,646,8,237.14,2.1,2189,0,0,43.69333333,29.23333333,27.07333333,0,5,1,1,10,3,0,5,1,1,10,3,0,0,16.5,1.5,41.5,5,0,0,65,64.5,0,18
65,68.a,68,a,23,83,54,277.48,2.2,2200,23,0,79.97666667,9.546666667,10.48,3,4,0,1,11,4,2,4,0,1,11,4,1,0,6,0.5,21,6.5,1.5,0.5,35,35.5,1,6.5
66,68.b,68,b,22,265,54,277.48,2.2,2200,5,0.1,79.6875,10.63,9.685,3,4,0,1,11,3,2,4,0,1,11,3,1,0,12,0.5,20.5,7.5,1.5,0.5,41.5,42,1,12.5
67,68.c,68,c,23,400,54,277.48,2.2,2200,7,0,84.71,9.19,6.1,3,3,0,1,13,3,3,3,0,1,13,3,0,0,9.5,0.5,18.5,7.5,1.5,0,37.5,37.5,0,10
68,68.d,68,d,30,646,54,277.48,2.2,2200,6,0,78.63666667,12.37666667,8.983333333,3,5,0,1,18,3,2,5,0,1,18,3,1,0,12.5,0.5,39.5,12.1,1.05,0.5,65.15,65.65,1,13
